persona_set,bot,metric,value
personas,off,step_stay_rate,0.734722
personas,off,initial_to_final_stay_rate,0.458333
personas,off,mean_step_change_rate,0.265278
personas,off,peak_step_change_rate,0.402778
personas,off,peak_step_change_rate_step,1
personas,on,step_stay_rate,0.806757
personas,on,initial_to_final_stay_rate,0.608108
personas,on,mean_step_change_rate,0.193243
personas,on,peak_step_change_rate,0.405405
personas,on,peak_step_change_rate_step,1
senate,off,step_stay_rate,0.646
senate,off,initial_to_final_stay_rate,0.475
senate,off,mean_step_change_rate,0.354
senate,off,peak_step_change_rate,0.505
senate,off,peak_step_change_rate_step,3
senate,on,step_stay_rate,0.611881
senate,on,initial_to_final_stay_rate,0.519802
senate,on,mean_step_change_rate,0.388119
senate,on,peak_step_change_rate,0.485149
senate,on,peak_step_change_rate_step,3
